principal_components,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
10,0.705,0.698,0.583,0.56,0.122
20,0.747,0.744,0.629,0.609,0.118
30,0.769,0.768,0.649,0.635,0.12
40,0.774,0.773,0.652,0.641,0.122
50,0.777,0.777,0.644,0.637,0.133
60,0.778,0.778,0.64,0.635,0.138
70,0.776,0.776,0.635,0.631,0.141
80,0.774,0.774,0.628,0.626,0.146
90,0.771,0.771,0.621,0.62,0.15
100,0.769,0.769,0.615,0.614,0.154
110,0.767,0.767,0.609,0.608,0.158
120,0.767,0.767,0.604,0.604,0.163
130,0.765,0.765,0.6,0.6,0.165
140,0.763,0.763,0.597,0.598,0.166
150,0.761,0.761,0.595,0.596,0.166
160,0.758,0.758,0.591,0.591,0.167
170,0.755,0.755,0.588,0.588,0.167
180,0.751,0.751,0.586,0.585,0.165
190,0.748,0.748,0.579,0.577,0.169
200,0.746,0.745,0.579,0.577,0.167
210,0.742,0.741,0.575,0.572,0.167
220,0.738,0.737,0.571,0.568,0.167
230,0.734,0.733,0.567,0.563,0.167
240,0.73,0.728,0.558,0.554,0.172
250,0.725,0.722,0.553,0.548,0.172
260,0.719,0.716,0.549,0.542,0.17
270,0.712,0.708,0.545,0.537,0.167
280,0.707,0.702,0.54,0.531,0.167
290,0.701,0.695,0.535,0.525,0.166
300,0.696,0.689,0.531,0.52,0.165
310,0.69,0.683,0.527,0.516,0.163
320,0.684,0.676,0.523,0.511,0.161
330,0.678,0.67,0.521,0.507,0.157
340,0.673,0.665,0.518,0.504,0.155
350,0.667,0.658,0.514,0.5,0.153
360,0.663,0.653,0.511,0.495,0.152
370,0.657,0.648,0.509,0.493,0.148
380,0.652,0.642,0.504,0.488,0.148
390,0.647,0.637,0.5,0.483,0.147
400,0.641,0.631,0.495,0.478,0.146
410,0.637,0.627,0.491,0.474,0.146
420,0.632,0.622,0.488,0.471,0.144
430,0.626,0.616,0.483,0.465,0.143
440,0.621,0.611,0.479,0.461,0.142
450,0.616,0.606,0.476,0.458,0.14
460,0.61,0.6,0.473,0.454,0.137
470,0.605,0.595,0.469,0.45,0.136
480,0.6,0.591,0.465,0.447,0.135
490,0.595,0.585,0.463,0.443,0.132
500,0.589,0.58,0.461,0.442,0.128
510,0.585,0.575,0.457,0.438,0.128
520,0.58,0.57,0.453,0.434,0.127
530,0.575,0.565,0.449,0.43,0.126
540,0.57,0.56,0.448,0.429,0.122