C,principal_components,penalty,class_weight,solver,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
0.1,10,l2,balanced,lbfgs,0.759,0.757,0.539,0.532,0.22
0.1,10,l2,None,lbfgs,0.759,0.757,0.539,0.532,0.22
0.1,10,l2,balanced,newton-cg,0.764,0.761,0.55,0.543,0.214
0.1,10,l2,None,newton-cg,0.764,0.761,0.55,0.543,0.214
0.1,10,l2,balanced,sag,0.764,0.76,0.549,0.542,0.215
0.1,10,l2,None,sag,0.764,0.76,0.549,0.542,0.215
0.1,10,l2,balanced,saga,0.764,0.76,0.55,0.542,0.214
0.1,10,l2,None,saga,0.764,0.76,0.55,0.542,0.214
0.1,10,elasticnet,balanced,saga,0.764,0.76,0.55,0.542,0.214
0.1,10,elasticnet,None,saga,0.764,0.76,0.55,0.542,0.214
0.1,10,l1,balanced,saga,0.763,0.76,0.551,0.543,0.212
0.1,10,l1,None,saga,0.763,0.76,0.551,0.543,0.212
0.1,60,l2,balanced,lbfgs,0.84,0.839,0.551,0.539,0.289
0.1,60,l2,None,lbfgs,0.84,0.839,0.551,0.539,0.289
0.1,60,l2,balanced,newton-cg,0.844,0.843,0.547,0.537,0.297
0.1,60,l2,None,newton-cg,0.844,0.843,0.547,0.537,0.297
0.1,60,l2,balanced,sag,0.843,0.842,0.543,0.533,0.3
0.1,60,l2,None,sag,0.843,0.842,0.543,0.533,0.3
0.1,60,l2,balanced,saga,0.842,0.841,0.548,0.537,0.294
0.1,60,l2,None,saga,0.842,0.841,0.548,0.537,0.294
0.1,60,elasticnet,balanced,saga,0.842,0.841,0.55,0.539,0.292
0.1,60,elasticnet,None,saga,0.842,0.841,0.55,0.539,0.292
0.1,60,l1,balanced,saga,0.841,0.84,0.552,0.542,0.289
0.1,60,l1,None,saga,0.841,0.84,0.552,0.542,0.289
0.1,110,l2,balanced,lbfgs,0.854,0.853,0.54,0.533,0.314
0.1,110,l2,None,lbfgs,0.854,0.853,0.54,0.533,0.314
0.1,110,l2,balanced,newton-cg,0.856,0.856,0.54,0.535,0.316
0.1,110,l2,None,newton-cg,0.856,0.856,0.54,0.535,0.316
0.1,110,l2,balanced,sag,0.856,0.855,0.538,0.533,0.318
0.1,110,l2,None,sag,0.856,0.855,0.538,0.533,0.318
0.1,110,l2,balanced,saga,0.855,0.855,0.541,0.536,0.314
0.1,110,l2,None,saga,0.855,0.855,0.541,0.536,0.314
0.1,110,elasticnet,balanced,saga,0.855,0.854,0.545,0.538,0.31
0.1,110,elasticnet,None,saga,0.855,0.854,0.545,0.538,0.31
0.1,110,l1,balanced,saga,0.854,0.853,0.545,0.539,0.309
0.1,110,l1,None,saga,0.854,0.853,0.545,0.539,0.309
0.1,160,l2,balanced,lbfgs,0.859,0.858,0.541,0.534,0.318
0.1,160,l2,None,lbfgs,0.859,0.858,0.541,0.534,0.318
0.1,160,l2,balanced,newton-cg,0.863,0.862,0.543,0.536,0.32
0.1,160,l2,None,newton-cg,0.863,0.862,0.543,0.536,0.32
0.1,160,l2,balanced,sag,0.862,0.861,0.541,0.533,0.321
0.1,160,l2,None,sag,0.862,0.861,0.541,0.534,0.321
0.1,160,l2,balanced,saga,0.861,0.861,0.542,0.535,0.319
0.1,160,l2,None,saga,0.861,0.861,0.542,0.535,0.319
0.1,160,elasticnet,balanced,saga,0.86,0.86,0.55,0.543,0.31
0.1,160,elasticnet,None,saga,0.86,0.86,0.55,0.543,0.31
0.1,160,l1,balanced,saga,0.859,0.859,0.553,0.547,0.306
0.1,160,l1,None,saga,0.859,0.859,0.553,0.547,0.306
0.1,210,l2,balanced,lbfgs,0.862,0.861,0.545,0.537,0.317
0.1,210,l2,None,lbfgs,0.862,0.861,0.545,0.537,0.317
0.1,210,l2,balanced,newton-cg,0.865,0.864,0.544,0.539,0.321
0.1,210,l2,None,newton-cg,0.865,0.864,0.544,0.539,0.321
0.1,210,l2,balanced,sag,0.864,0.864,0.542,0.536,0.322
0.1,210,l2,None,sag,0.864,0.864,0.542,0.536,0.322
0.1,210,l2,balanced,saga,0.864,0.864,0.542,0.536,0.322
0.1,210,l2,None,saga,0.864,0.864,0.542,0.536,0.322
0.1,210,elasticnet,balanced,saga,0.863,0.863,0.551,0.545,0.312
0.1,210,elasticnet,None,saga,0.863,0.863,0.551,0.545,0.312
0.1,210,l1,balanced,saga,0.862,0.861,0.556,0.55,0.306
0.1,210,l1,None,saga,0.862,0.861,0.556,0.55,0.306
0.1,260,l2,balanced,lbfgs,0.865,0.864,0.544,0.537,0.321
0.1,260,l2,None,lbfgs,0.865,0.864,0.544,0.537,0.321
0.1,260,l2,balanced,newton-cg,0.868,0.867,0.546,0.54,0.322
0.1,260,l2,None,newton-cg,0.868,0.867,0.546,0.54,0.322
0.1,260,l2,balanced,sag,0.868,0.867,0.544,0.537,0.324
0.1,260,l2,None,sag,0.868,0.867,0.544,0.537,0.324
0.1,260,l2,balanced,saga,0.867,0.867,0.545,0.538,0.322
0.1,260,l2,None,saga,0.867,0.867,0.545,0.538,0.322
0.1,260,elasticnet,balanced,saga,0.866,0.865,0.556,0.549,0.31
0.1,260,elasticnet,None,saga,0.866,0.865,0.556,0.549,0.31
0.1,260,l1,balanced,saga,0.864,0.863,0.555,0.549,0.309
0.1,260,l1,None,saga,0.864,0.863,0.555,0.549,0.309
0.1,310,l2,balanced,lbfgs,0.866,0.865,0.542,0.535,0.324
0.1,310,l2,None,lbfgs,0.866,0.865,0.542,0.535,0.324
0.1,310,l2,balanced,newton-cg,0.87,0.869,0.543,0.537,0.327
0.1,310,l2,None,newton-cg,0.87,0.869,0.543,0.537,0.327
0.1,310,l2,balanced,sag,0.869,0.869,0.541,0.534,0.328
0.1,310,l2,None,sag,0.869,0.869,0.541,0.534,0.328
0.1,310,l2,balanced,saga,0.869,0.868,0.541,0.535,0.328
0.1,310,l2,None,saga,0.869,0.868,0.541,0.534,0.328
0.1,310,elasticnet,balanced,saga,0.868,0.867,0.556,0.548,0.312
0.1,310,elasticnet,None,saga,0.868,0.867,0.556,0.549,0.312
0.1,310,l1,balanced,saga,0.866,0.865,0.557,0.55,0.309
0.1,310,l1,None,saga,0.866,0.865,0.557,0.55,0.309
0.1,360,l2,balanced,lbfgs,0.867,0.866,0.542,0.535,0.325
0.1,360,l2,None,lbfgs,0.867,0.866,0.542,0.535,0.325
0.1,360,l2,balanced,newton-cg,0.872,0.871,0.544,0.538,0.328
0.1,360,l2,None,newton-cg,0.872,0.871,0.544,0.538,0.328
0.1,360,l2,balanced,sag,0.871,0.87,0.54,0.534,0.331
0.1,360,l2,None,sag,0.871,0.87,0.54,0.534,0.331
0.1,360,l2,balanced,saga,0.871,0.87,0.541,0.535,0.33
0.1,360,l2,None,saga,0.871,0.87,0.541,0.534,0.33
0.1,360,elasticnet,balanced,saga,0.869,0.868,0.554,0.547,0.315
0.1,360,elasticnet,None,saga,0.869,0.868,0.554,0.547,0.315
0.1,360,l1,balanced,saga,0.867,0.866,0.557,0.55,0.31
0.1,360,l1,None,saga,0.867,0.866,0.557,0.55,0.31
0.1,410,l2,balanced,lbfgs,0.868,0.868,0.544,0.537,0.324
0.1,410,l2,None,lbfgs,0.868,0.868,0.544,0.537,0.324
0.1,410,l2,balanced,newton-cg,0.873,0.873,0.54,0.535,0.333
0.1,410,l2,None,newton-cg,0.873,0.873,0.54,0.535,0.333
0.1,410,l2,balanced,sag,0.873,0.872,0.54,0.534,0.333
0.1,410,l2,None,sag,0.873,0.872,0.54,0.534,0.333
0.1,410,l2,balanced,saga,0.873,0.872,0.54,0.534,0.333
0.1,410,l2,None,saga,0.873,0.872,0.54,0.534,0.333
0.1,410,elasticnet,balanced,saga,0.87,0.869,0.555,0.548,0.315
0.1,410,elasticnet,None,saga,0.87,0.869,0.555,0.548,0.315
0.1,410,l1,balanced,saga,0.867,0.866,0.556,0.549,0.311
0.1,410,l1,None,saga,0.867,0.866,0.557,0.55,0.31
0.1,460,l2,balanced,lbfgs,0.871,0.87,0.539,0.532,0.332
0.1,460,l2,None,lbfgs,0.871,0.87,0.539,0.532,0.332
0.1,460,l2,balanced,newton-cg,0.875,0.874,0.54,0.535,0.335
0.1,460,l2,None,newton-cg,0.875,0.874,0.54,0.535,0.335
0.1,460,l2,balanced,sag,0.874,0.873,0.54,0.535,0.334
0.1,460,l2,None,sag,0.874,0.873,0.54,0.535,0.334
0.1,460,l2,balanced,saga,0.874,0.873,0.541,0.536,0.333
0.1,460,l2,None,saga,0.874,0.873,0.54,0.535,0.334
0.1,460,elasticnet,balanced,saga,0.871,0.87,0.554,0.547,0.317
0.1,460,elasticnet,None,saga,0.871,0.87,0.554,0.547,0.317
0.1,460,l1,balanced,saga,0.867,0.867,0.557,0.55,0.31
0.1,460,l1,None,saga,0.867,0.867,0.558,0.551,0.309
0.1,510,l2,balanced,lbfgs,0.871,0.87,0.541,0.535,0.33
0.1,510,l2,None,lbfgs,0.871,0.87,0.541,0.535,0.33
0.1,510,l2,balanced,newton-cg,0.876,0.875,0.538,0.533,0.338
0.1,510,l2,None,newton-cg,0.876,0.875,0.538,0.533,0.338
0.1,510,l2,balanced,sag,0.875,0.874,0.538,0.534,0.337
0.1,510,l2,None,sag,0.875,0.874,0.539,0.534,0.336
0.1,510,l2,balanced,saga,0.875,0.874,0.539,0.534,0.336
0.1,510,l2,None,saga,0.875,0.874,0.539,0.534,0.336
0.1,510,elasticnet,balanced,saga,0.871,0.87,0.553,0.546,0.318
0.1,510,elasticnet,None,saga,0.871,0.87,0.553,0.546,0.318
0.1,510,l1,balanced,saga,0.867,0.867,0.556,0.549,0.311
0.1,510,l1,None,saga,0.867,0.867,0.556,0.549,0.311
0.6,10,l2,balanced,lbfgs,0.759,0.756,0.543,0.533,0.216
0.6,10,l2,None,lbfgs,0.759,0.756,0.543,0.533,0.216
0.6,10,l2,balanced,newton-cg,0.764,0.761,0.55,0.543,0.214
0.6,10,l2,None,newton-cg,0.764,0.761,0.55,0.543,0.214
0.6,10,l2,balanced,sag,0.764,0.761,0.55,0.542,0.214
0.6,10,l2,None,sag,0.764,0.761,0.55,0.542,0.214
0.6,10,l2,balanced,saga,0.764,0.76,0.55,0.542,0.214
0.6,10,l2,None,saga,0.764,0.76,0.55,0.542,0.214
0.6,10,elasticnet,balanced,saga,0.764,0.76,0.551,0.542,0.213
0.6,10,elasticnet,None,saga,0.764,0.76,0.551,0.542,0.213
0.6,10,l1,balanced,saga,0.764,0.76,0.551,0.543,0.213
0.6,10,l1,None,saga,0.764,0.76,0.551,0.543,0.213
0.6,60,l2,balanced,lbfgs,0.84,0.839,0.548,0.535,0.292
0.6,60,l2,None,lbfgs,0.84,0.839,0.548,0.535,0.292
0.6,60,l2,balanced,newton-cg,0.844,0.843,0.539,0.53,0.305
0.6,60,l2,None,newton-cg,0.844,0.843,0.539,0.53,0.305
0.6,60,l2,balanced,sag,0.843,0.842,0.538,0.528,0.305
0.6,60,l2,None,sag,0.843,0.842,0.538,0.528,0.305
0.6,60,l2,balanced,saga,0.843,0.842,0.542,0.531,0.301
0.6,60,l2,None,saga,0.843,0.842,0.543,0.531,0.3
0.6,60,elasticnet,balanced,saga,0.843,0.842,0.544,0.533,0.299
0.6,60,elasticnet,None,saga,0.843,0.842,0.544,0.532,0.299
0.6,60,l1,balanced,saga,0.843,0.842,0.545,0.534,0.298
0.6,60,l1,None,saga,0.843,0.842,0.545,0.534,0.298
0.6,110,l2,balanced,lbfgs,0.854,0.853,0.537,0.531,0.317
0.6,110,l2,None,lbfgs,0.854,0.853,0.537,0.531,0.317
0.6,110,l2,balanced,newton-cg,0.857,0.856,0.526,0.521,0.331
0.6,110,l2,None,newton-cg,0.857,0.856,0.526,0.521,0.331
0.6,110,l2,balanced,sag,0.856,0.855,0.53,0.524,0.326
0.6,110,l2,None,sag,0.856,0.855,0.53,0.525,0.326
0.6,110,l2,balanced,saga,0.856,0.855,0.536,0.53,0.32
0.6,110,l2,None,saga,0.856,0.855,0.536,0.53,0.32
0.6,110,elasticnet,balanced,saga,0.856,0.855,0.538,0.532,0.318
0.6,110,elasticnet,None,saga,0.856,0.855,0.538,0.532,0.318
0.6,110,l1,balanced,saga,0.856,0.855,0.539,0.533,0.317
0.6,110,l1,None,saga,0.856,0.855,0.539,0.533,0.317
0.6,160,l2,balanced,lbfgs,0.859,0.858,0.541,0.534,0.318
0.6,160,l2,None,lbfgs,0.859,0.858,0.541,0.534,0.318
0.6,160,l2,balanced,newton-cg,0.863,0.862,0.524,0.517,0.339
0.6,160,l2,None,newton-cg,0.863,0.862,0.524,0.517,0.339
0.6,160,l2,balanced,sag,0.862,0.861,0.526,0.518,0.336
0.6,160,l2,None,sag,0.862,0.861,0.526,0.518,0.336
0.6,160,l2,balanced,saga,0.861,0.861,0.531,0.524,0.33
0.6,160,l2,None,saga,0.861,0.861,0.531,0.524,0.33
0.6,160,elasticnet,balanced,saga,0.861,0.861,0.536,0.529,0.325
0.6,160,elasticnet,None,saga,0.861,0.861,0.536,0.528,0.325
0.6,160,l1,balanced,saga,0.861,0.861,0.537,0.53,0.324
0.6,160,l1,None,saga,0.861,0.861,0.538,0.53,0.323
0.6,210,l2,balanced,lbfgs,0.862,0.861,0.541,0.534,0.321
0.6,210,l2,None,lbfgs,0.862,0.861,0.541,0.534,0.321
0.6,210,l2,balanced,newton-cg,0.866,0.865,0.518,0.511,0.348
0.6,210,l2,None,newton-cg,0.866,0.865,0.518,0.511,0.348
0.6,210,l2,balanced,sag,0.865,0.865,0.529,0.522,0.336
0.6,210,l2,None,sag,0.865,0.865,0.529,0.522,0.336
0.6,210,l2,balanced,saga,0.864,0.864,0.533,0.527,0.331
0.6,210,l2,None,saga,0.864,0.864,0.533,0.527,0.331
0.6,210,elasticnet,balanced,saga,0.864,0.864,0.536,0.53,0.328
0.6,210,elasticnet,None,saga,0.864,0.864,0.536,0.53,0.328
0.6,210,l1,balanced,saga,0.864,0.864,0.538,0.532,0.326
0.6,210,l1,None,saga,0.864,0.864,0.538,0.532,0.326
0.6,260,l2,balanced,lbfgs,0.864,0.864,0.54,0.534,0.324
0.6,260,l2,None,lbfgs,0.864,0.864,0.54,0.534,0.324
0.6,260,l2,balanced,newton-cg,0.869,0.868,0.523,0.517,0.346
0.6,260,l2,None,newton-cg,0.869,0.868,0.523,0.517,0.346
0.6,260,l2,balanced,sag,0.868,0.867,0.531,0.525,0.337
0.6,260,l2,None,sag,0.868,0.867,0.531,0.525,0.337
0.6,260,l2,balanced,saga,0.868,0.867,0.538,0.532,0.33
0.6,260,l2,None,saga,0.868,0.867,0.538,0.531,0.33
0.6,260,elasticnet,balanced,saga,0.868,0.867,0.542,0.535,0.326
0.6,260,elasticnet,None,saga,0.868,0.867,0.542,0.535,0.326
0.6,260,l1,balanced,saga,0.868,0.867,0.542,0.536,0.326
0.6,260,l1,None,saga,0.868,0.867,0.542,0.536,0.326
0.6,310,l2,balanced,lbfgs,0.866,0.865,0.539,0.532,0.327
0.6,310,l2,None,lbfgs,0.866,0.865,0.539,0.532,0.327
0.6,310,l2,balanced,newton-cg,0.87,0.87,0.511,0.506,0.359
0.6,310,l2,None,newton-cg,0.87,0.87,0.511,0.506,0.359
0.6,310,l2,balanced,sag,0.87,0.869,0.526,0.52,0.344
0.6,310,l2,None,sag,0.87,0.869,0.527,0.52,0.343
0.6,310,l2,balanced,saga,0.87,0.869,0.53,0.525,0.34
0.6,310,l2,None,saga,0.87,0.869,0.53,0.525,0.34
0.6,310,elasticnet,balanced,saga,0.869,0.868,0.535,0.529,0.334
0.6,310,elasticnet,None,saga,0.869,0.868,0.535,0.529,0.334
0.6,310,l1,balanced,saga,0.869,0.868,0.539,0.533,0.33
0.6,310,l1,None,saga,0.869,0.868,0.54,0.533,0.329
0.6,360,l2,balanced,lbfgs,0.868,0.867,0.541,0.534,0.327
0.6,360,l2,None,lbfgs,0.868,0.867,0.541,0.534,0.327
0.6,360,l2,balanced,newton-cg,0.873,0.872,0.513,0.508,0.36
0.6,360,l2,None,newton-cg,0.873,0.872,0.513,0.508,0.36
0.6,360,l2,balanced,sag,0.872,0.871,0.524,0.518,0.348
0.6,360,l2,None,sag,0.872,0.871,0.523,0.518,0.349
0.6,360,l2,balanced,saga,0.871,0.87,0.528,0.523,0.343
0.6,360,l2,None,saga,0.871,0.87,0.528,0.523,0.343
0.6,360,elasticnet,balanced,saga,0.871,0.87,0.533,0.528,0.338
0.6,360,elasticnet,None,saga,0.871,0.87,0.534,0.528,0.337
0.6,360,l1,balanced,saga,0.871,0.87,0.538,0.532,0.333
0.6,360,l1,None,saga,0.871,0.87,0.538,0.532,0.333
0.6,410,l2,balanced,lbfgs,0.869,0.868,0.537,0.531,0.332
0.6,410,l2,None,lbfgs,0.869,0.868,0.537,0.531,0.332
0.6,410,l2,balanced,newton-cg,0.874,0.873,0.508,0.505,0.366
0.6,410,l2,None,newton-cg,0.874,0.873,0.508,0.505,0.366
0.6,410,l2,balanced,sag,0.874,0.873,0.521,0.518,0.353
0.6,410,l2,None,sag,0.874,0.873,0.521,0.517,0.353
0.6,410,l2,balanced,saga,0.873,0.872,0.526,0.521,0.347
0.6,410,l2,None,saga,0.873,0.872,0.526,0.521,0.347
0.6,410,elasticnet,balanced,saga,0.873,0.872,0.534,0.529,0.339
0.6,410,elasticnet,None,saga,0.873,0.872,0.534,0.529,0.339
0.6,410,l1,balanced,saga,0.872,0.871,0.538,0.532,0.334
0.6,410,l1,None,saga,0.872,0.871,0.538,0.532,0.334
0.6,460,l2,balanced,lbfgs,0.87,0.869,0.534,0.528,0.336
0.6,460,l2,None,lbfgs,0.87,0.869,0.534,0.528,0.336
0.6,460,l2,balanced,newton-cg,0.876,0.875,0.509,0.506,0.367
0.6,460,l2,None,newton-cg,0.876,0.875,0.509,0.506,0.367
0.6,460,l2,balanced,sag,0.875,0.874,0.524,0.52,0.351
0.6,460,l2,None,sag,0.875,0.874,0.524,0.52,0.351
0.6,460,l2,balanced,saga,0.874,0.873,0.528,0.524,0.346
0.6,460,l2,None,saga,0.874,0.874,0.528,0.524,0.346
0.6,460,elasticnet,balanced,saga,0.874,0.873,0.535,0.531,0.339
0.6,460,elasticnet,None,saga,0.874,0.873,0.535,0.531,0.339
0.6,460,l1,balanced,saga,0.874,0.873,0.538,0.533,0.336
0.6,460,l1,None,saga,0.874,0.873,0.538,0.533,0.336
0.6,510,l2,balanced,lbfgs,0.871,0.871,0.535,0.529,0.336
0.6,510,l2,None,lbfgs,0.871,0.871,0.535,0.529,0.336
0.6,510,l2,balanced,newton-cg,0.878,0.877,0.506,0.503,0.372
0.6,510,l2,None,newton-cg,0.878,0.877,0.506,0.503,0.372
0.6,510,l2,balanced,sag,0.876,0.876,0.522,0.519,0.354
0.6,510,l2,None,sag,0.876,0.876,0.523,0.519,0.353
0.6,510,l2,balanced,saga,0.876,0.875,0.527,0.523,0.349
0.6,510,l2,None,saga,0.876,0.875,0.527,0.523,0.349
0.6,510,elasticnet,balanced,saga,0.875,0.874,0.531,0.526,0.344
0.6,510,elasticnet,None,saga,0.875,0.874,0.531,0.527,0.344
