C,principal_components,gamma,probablity,accuracy_train,f1_train,accuracy_test,f1_test,accuracy_difference
0.5,100,auto,False,0.936,0.936,0.579,0.563,0.357
0.5,100,scale,False,0.895,0.894,0.618,0.61,0.277
0.5,150,auto,False,0.93,0.93,0.619,0.609,0.311
0.5,150,scale,False,0.899,0.898,0.622,0.613,0.277
0.5,200,auto,False,0.926,0.925,0.624,0.615,0.302
0.5,200,scale,False,0.901,0.9,0.623,0.614,0.278
0.5,250,auto,False,0.921,0.921,0.626,0.617,0.295
0.5,250,scale,False,0.902,0.901,0.623,0.614,0.279
0.5,300,auto,False,0.918,0.918,0.627,0.618,0.291
0.5,300,scale,False,0.902,0.902,0.624,0.615,0.278
0.5,350,auto,False,0.915,0.914,0.628,0.619,0.287
0.5,350,scale,False,0.903,0.902,0.626,0.617,0.277
0.5,400,auto,False,0.912,0.912,0.627,0.618,0.285
0.5,400,scale,False,0.904,0.903,0.627,0.617,0.277
0.5,450,auto,False,0.909,0.909,0.628,0.619,0.281
0.5,450,scale,False,0.904,0.904,0.626,0.617,0.278
0.5,500,auto,False,0.907,0.906,0.627,0.617,0.28
0.5,500,scale,False,0.904,0.904,0.626,0.617,0.278
1.0,100,auto,False,0.963,0.963,0.578,0.567,0.385
1.0,100,scale,False,0.908,0.907,0.6,0.598,0.308
1.0,150,auto,False,0.956,0.956,0.611,0.604,0.345
1.0,150,scale,False,0.913,0.913,0.606,0.603,0.307
1.0,200,auto,False,0.949,0.949,0.615,0.608,0.334
1.0,200,scale,False,0.916,0.916,0.608,0.605,0.308
1.0,250,auto,False,0.944,0.944,0.615,0.609,0.329
1.0,250,scale,False,0.918,0.917,0.611,0.607,0.307
1.0,300,auto,False,0.939,0.939,0.615,0.61,0.324
1.0,300,scale,False,0.919,0.919,0.613,0.609,0.306
1.0,350,auto,False,0.935,0.934,0.617,0.611,0.318
1.0,350,scale,False,0.92,0.92,0.615,0.61,0.305
1.0,400,auto,False,0.931,0.931,0.616,0.611,0.315
1.0,400,scale,False,0.92,0.92,0.615,0.61,0.305
1.0,450,auto,False,0.928,0.927,0.614,0.609,0.314
1.0,450,scale,False,0.921,0.921,0.616,0.611,0.305
1.0,500,auto,False,0.925,0.925,0.616,0.611,0.309
1.0,500,scale,False,0.922,0.921,0.615,0.61,0.307
1.5,100,auto,False,0.976,0.976,0.572,0.562,0.404
1.5,100,scale,False,0.916,0.915,0.59,0.591,0.326
1.5,150,auto,False,0.969,0.969,0.602,0.596,0.367
1.5,150,scale,False,0.921,0.921,0.591,0.592,0.33
1.5,200,auto,False,0.963,0.963,0.604,0.599,0.359
1.5,200,scale,False,0.925,0.925,0.597,0.597,0.328
1.5,250,auto,False,0.957,0.957,0.601,0.598,0.356
1.5,250,scale,False,0.928,0.927,0.597,0.597,0.331
1.5,300,auto,False,0.952,0.952,0.602,0.599,0.35
1.5,300,scale,False,0.929,0.928,0.599,0.599,0.33
1.5,350,auto,False,0.947,0.947,0.603,0.6,0.344
1.5,350,scale,False,0.93,0.93,0.603,0.601,0.327
1.5,400,auto,False,0.944,0.943,0.604,0.601,0.34
1.5,400,scale,False,0.932,0.931,0.604,0.602,0.328
1.5,450,auto,False,0.94,0.94,0.603,0.601,0.337
1.5,450,scale,False,0.933,0.932,0.604,0.602,0.329
1.5,500,auto,False,0.936,0.936,0.603,0.601,0.333
1.5,500,scale,False,0.933,0.933,0.605,0.603,0.328
2.0,100,auto,False,0.984,0.984,0.568,0.559,0.416
2.0,100,scale,False,0.921,0.921,0.577,0.581,0.344
2.0,150,auto,False,0.977,0.977,0.596,0.591,0.381
2.0,150,scale,False,0.927,0.927,0.583,0.586,0.344
2.0,200,auto,False,0.971,0.971,0.598,0.594,0.373
2.0,200,scale,False,0.932,0.932,0.588,0.59,0.344
2.0,250,auto,False,0.966,0.965,0.593,0.591,0.373
2.0,250,scale,False,0.935,0.934,0.587,0.588,0.348
2.0,300,auto,False,0.961,0.961,0.591,0.59,0.37
2.0,300,scale,False,0.936,0.936,0.589,0.59,0.347
2.0,350,auto,False,0.957,0.956,0.592,0.591,0.365
2.0,350,scale,False,0.938,0.938,0.594,0.593,0.344
2.0,400,auto,False,0.952,0.952,0.594,0.593,0.358
2.0,400,scale,False,0.939,0.939,0.594,0.594,0.345
2.0,450,auto,False,0.949,0.948,0.593,0.592,0.356
2.0,450,scale,False,0.94,0.94,0.595,0.594,0.345
2.0,500,auto,False,0.944,0.944,0.593,0.593,0.351
2.0,500,scale,False,0.941,0.941,0.594,0.594,0.347
2.5,100,auto,False,0.988,0.988,0.563,0.553,0.425
2.5,100,scale,False,0.925,0.925,0.568,0.573,0.357
2.5,150,auto,False,0.983,0.983,0.591,0.586,0.392
2.5,150,scale,False,0.932,0.932,0.576,0.58,0.356
2.5,200,auto,False,0.977,0.977,0.594,0.591,0.383
2.5,200,scale,False,0.937,0.937,0.579,0.581,0.358
2.5,250,auto,False,0.972,0.972,0.589,0.587,0.383
2.5,250,scale,False,0.941,0.941,0.581,0.583,0.36
2.5,300,auto,False,0.967,0.967,0.584,0.585,0.383
2.5,300,scale,False,0.943,0.942,0.582,0.584,0.361
2.5,350,auto,False,0.963,0.963,0.585,0.586,0.378
2.5,350,scale,False,0.944,0.944,0.585,0.585,0.359
2.5,400,auto,False,0.959,0.959,0.585,0.586,0.374
2.5,400,scale,False,0.946,0.945,0.586,0.586,0.36
2.5,450,auto,False,0.955,0.955,0.586,0.586,0.369
2.5,450,scale,False,0.947,0.947,0.586,0.586,0.361
2.5,500,auto,False,0.951,0.951,0.584,0.585,0.367
2.5,500,scale,False,0.948,0.947,0.585,0.585,0.363
3.0,100,auto,False,0.991,0.991,0.56,0.551,0.431
3.0,100,scale,False,0.929,0.929,0.564,0.569,0.365
3.0,150,auto,False,0.987,0.987,0.588,0.584,0.399
3.0,150,scale,False,0.937,0.937,0.569,0.574,0.368
3.0,200,auto,False,0.982,0.982,0.589,0.587,0.393
3.0,200,scale,False,0.942,0.942,0.573,0.576,0.369
3.0,250,auto,False,0.977,0.977,0.584,0.584,0.393
3.0,250,scale,False,0.945,0.945,0.574,0.577,0.371
3.0,300,auto,False,0.972,0.972,0.58,0.581,0.392
3.0,300,scale,False,0.948,0.947,0.574,0.577,0.374
3.0,350,auto,False,0.968,0.968,0.58,0.582,0.388
3.0,350,scale,False,0.95,0.95,0.578,0.58,0.372
3.0,400,auto,False,0.965,0.965,0.579,0.58,0.386
3.0,400,scale,False,0.951,0.951,0.58,0.582,0.371
3.0,450,auto,False,0.961,0.96,0.579,0.581,0.382
3.0,450,scale,False,0.952,0.952,0.58,0.581,0.372
3.0,500,auto,False,0.957,0.957,0.579,0.581,0.378
3.0,500,scale,False,0.953,0.953,0.578,0.58,0.375
3.5,100,auto,False,0.993,0.993,0.56,0.55,0.433
3.5,100,scale,False,0.933,0.933,0.56,0.565,0.373
3.5,150,auto,False,0.989,0.989,0.585,0.581,0.404
3.5,150,scale,False,0.941,0.941,0.564,0.569,0.377
3.5,200,auto,False,0.985,0.985,0.586,0.584,0.399
3.5,200,scale,False,0.946,0.946,0.567,0.571,0.379
3.5,250,auto,False,0.981,0.981,0.579,0.58,0.402
3.5,250,scale,False,0.949,0.949,0.567,0.57,0.382
3.5,300,auto,False,0.976,0.976,0.577,0.578,0.399
3.5,300,scale,False,0.952,0.952,0.569,0.572,0.383
3.5,350,auto,False,0.972,0.972,0.578,0.579,0.394
3.5,350,scale,False,0.954,0.954,0.572,0.575,0.382
3.5,400,auto,False,0.968,0.968,0.576,0.578,0.392
3.5,400,scale,False,0.955,0.955,0.575,0.577,0.38
3.5,450,auto,False,0.965,0.965,0.575,0.578,0.39
3.5,450,scale,False,0.957,0.956,0.573,0.575,0.384
3.5,500,auto,False,0.962,0.962,0.574,0.576,0.388
3.5,500,scale,False,0.958,0.958,0.572,0.575,0.386
4.0,100,auto,False,0.995,0.995,0.559,0.55,0.436
4.0,100,scale,False,0.936,0.935,0.556,0.561,0.38
4.0,150,auto,False,0.992,0.992,0.583,0.579,0.409
4.0,150,scale,False,0.944,0.944,0.559,0.564,0.385
4.0,200,auto,False,0.988,0.988,0.584,0.582,0.404
4.0,200,scale,False,0.95,0.95,0.562,0.566,0.388
4.0,250,auto,False,0.983,0.983,0.577,0.577,0.406
4.0,250,scale,False,0.953,0.953,0.563,0.566,0.39
4.0,300,auto,False,0.979,0.979,0.575,0.576,0.404
4.0,300,scale,False,0.955,0.955,0.563,0.567,0.392
4.0,350,auto,False,0.976,0.976,0.573,0.575,0.403
4.0,350,scale,False,0.957,0.957,0.567,0.57,0.39
4.0,400,auto,False,0.972,0.972,0.573,0.575,0.399
4.0,400,scale,False,0.959,0.959,0.57,0.572,0.389
4.0,450,auto,False,0.968,0.968,0.571,0.574,0.397
4.0,450,scale,False,0.961,0.96,0.569,0.572,0.392
4.0,500,auto,False,0.965,0.965,0.569,0.572,0.396
4.0,500,scale,False,0.962,0.962,0.569,0.572,0.393
4.5,100,auto,False,0.996,0.996,0.559,0.549,0.437
4.5,100,scale,False,0.938,0.938,0.553,0.559,0.385
4.5,150,auto,False,0.993,0.993,0.582,0.578,0.411
4.5,150,scale,False,0.947,0.947,0.555,0.56,0.392
4.5,200,auto,False,0.99,0.99,0.581,0.58,0.409
4.5,200,scale,False,0.953,0.953,0.558,0.563,0.395
4.5,250,auto,False,0.986,0.986,0.575,0.576,0.411
4.5,250,scale,False,0.956,0.956,0.559,0.563,0.397
4.5,300,auto,False,0.982,0.982,0.572,0.574,0.41
4.5,300,scale,False,0.959,0.958,0.559,0.564,0.4
4.5,350,auto,False,0.978,0.978,0.571,0.573,0.407
4.5,350,scale,False,0.961,0.961,0.562,0.566,0.399
4.5,400,auto,False,0.975,0.975,0.57,0.573,0.405
4.5,400,scale,False,0.963,0.962,0.565,0.569,0.398
4.5,450,auto,False,0.972,0.972,0.567,0.57,0.405
4.5,450,scale,False,0.964,0.964,0.566,0.569,0.398
4.5,500,auto,False,0.968,0.968,0.565,0.568,0.403
4.5,500,scale,False,0.965,0.965,0.564,0.568,0.401
5.0,100,auto,False,0.997,0.997,0.558,0.548,0.439
5.0,100,scale,False,0.941,0.941,0.55,0.556,0.391
5.0,150,auto,False,0.994,0.994,0.581,0.577,0.413
5.0,150,scale,False,0.95,0.95,0.553,0.559,0.397
5.0,200,auto,False,0.991,0.991,0.58,0.578,0.411
5.0,200,scale,False,0.955,0.955,0.554,0.559,0.401
5.0,250,auto,False,0.988,0.988,0.574,0.575,0.414
5.0,250,scale,False,0.959,0.959,0.553,0.558,0.406
5.0,300,auto,False,0.984,0.984,0.571,0.572,0.413
5.0,300,scale,False,0.961,0.961,0.556,0.561,0.405
5.0,350,auto,False,0.981,0.981,0.569,0.571,0.412
5.0,350,scale,False,0.963,0.963,0.559,0.563,0.404
5.0,400,auto,False,0.977,0.977,0.567,0.57,0.41
5.0,400,scale,False,0.965,0.965,0.56,0.564,0.405
5.0,450,auto,False,0.974,0.974,0.564,0.567,0.41
5.0,450,scale,False,0.966,0.966,0.561,0.565,0.405
5.0,500,auto,False,0.971,0.971,0.562,0.566,0.409
5.0,500,scale,False,0.968,0.967,0.56,0.564,0.408